RecID,YearC,Decade,FlagName,FleetCode,ReportedCoverageRatio,ByQuarter,xLon5,yLat5,ReportedEffort,EstimatedCoverageRatio,ImputedEffort,TotalEstimatedEffort
69,2000,2000,Brazil,BRA,NA,4,-32.5,2.5,5584,1,0,5584
70,2000,2000,Brazil,BRA,NA,4,-27.5,-12.5,9600,1,0,9600
71,2000,2000,Brazil,BRA,NA,4,-27.5,-7.5,2400,1,0,2400
72,2000,2000,Brazil,BRA-ES,NA,1,-37.5,-22.5,1000,1,0,1000
73,2000,2000,Brazil,BRA-ES,NA,1,-37.5,2.5,35200,1,0,35200
74,2000,2000,Brazil,BRA-ES,NA,1,-32.5,-32.5,14000,1,0,14000
75,2000,2000,Brazil,BRA-ES,NA,1,-32.5,-27.5,6000,1,0,6000
76,2000,2000,Brazil,BRA-ES,NA,1,-32.5,-22.5,14360,1,0,14360
77,2000,2000,Brazil,BRA-ES,NA,1,-32.5,-17.5,17595,1,0,17595
78,2000,2000,Brazil,BRA-ES,NA,1,-32.5,-12.5,16376,1,0,16376
79,2000,2000,Brazil,BRA-ES,NA,1,-32.5,-7.5,4600,1,0,4600
80,2000,2000,Brazil,BRA-ES,NA,1,-32.5,-2.5,18570,1,0,18570
81,2000,2000,Brazil,BRA-ES,NA,1,-32.5,2.5,81390,1,0,81390
82,2000,2000,Brazil,BRA-ES,NA,1,-27.5,-22.5,152685,1,0,152685
83,2000,2000,Brazil,BRA-ES,NA,1,-27.5,-17.5,83292,1,0,83292
84,2000,2000,Brazil,BRA-ES,NA,1,-27.5,-12.5,1055,1,0,1055
85,2000,2000,Brazil,BRA-ES,NA,1,-27.5,2.5,38967,1,0,38967
86,2000,2000,Brazil,BRA-ES,NA,1,-27.5,12.5,1900,0.51,1825.490196,3725.490196
87,2000,2000,Brazil,BRA-ES,NA,1,-27.5,17.5,1800,0.48,1950,3750
88,2000,2000,Brazil,BRA-ES,NA,1,-27.5,22.5,1450,0.57,1093.859649,2543.859649
89,2000,2000,Brazil,BRA-ES,NA,1,-22.5,-27.5,11500,0.4278,15381.72043,26881.72043
90,2000,2000,Brazil,BRA-ES,NA,1,-22.5,-22.5,176892,1,0,176892
91,2000,2000,Brazil,BRA-ES,NA,1,-22.5,-17.5,28330,0.501136364,28201.51927,56531.51927
92,2000,2000,Brazil,BRA-ES,NA,1,-22.5,-7.5,9900,1,0,9900
93,2000,2000,Brazil,BRA-ES,NA,1,-22.5,-2.5,17700,1,0,17700
94,2000,2000,Brazil,BRA-ES,NA,1,-22.5,22.5,28478,1,0,28478
95,2000,2000,Brazil,BRA-ES,NA,1,-17.5,-27.5,60776,0.319,129744.3762,190520.3762
96,2000,2000,Brazil,BRA-ES,NA,1,-17.5,-22.5,75310,1,0,75310
97,2000,2000,Brazil,BRA-ES,NA,1,-17.5,22.5,14760,1,0,14760
98,2000,2000,Brazil,BRA-ES,NA,1,-17.5,27.5,1900,1,0,1900
99,2000,2000,Brazil,BRA-ES,NA,1,-12.5,-27.5,6600,0.66,3400,10000
100,2000,2000,Brazil,BRA-ES,NA,2,-37.5,-22.5,1100,1,0,1100
101,2000,2000,Brazil,BRA-ES,NA,2,-37.5,-17.5,1100,1,0,1100
102,2000,2000,Brazil,BRA-ES,NA,2,-37.5,2.5,19660,1,0,19660
103,2000,2000,Brazil,BRA-ES,NA,2,-32.5,-22.5,2200,1,0,2200
104,2000,2000,Brazil,BRA-ES,NA,2,-32.5,-17.5,214269,1,0,214269
105,2000,2000,Brazil,BRA-ES,NA,2,-32.5,-12.5,90583,1,0,90583
106,2000,2000,Brazil,BRA-ES,NA,2,-32.5,-7.5,3240,1,0,3240
107,2000,2000,Brazil,BRA-ES,NA,2,-32.5,-2.5,15035,1,0,15035
108,2000,2000,Brazil,BRA-ES,NA,2,-32.5,2.5,134416,1,0,134416
109,2000,2000,Brazil,BRA-ES,NA,2,-32.5,12.5,14040,0.552,11394.78261,25434.78261
110,2000,2000,Brazil,BRA-ES,NA,2,-32.5,32.5,1120,0.57,844.9122807,1964.912281
111,2000,2000,Brazil,BRA-ES,NA,2,-27.5,-22.5,6200,1,0,6200
112,2000,2000,Brazil,BRA-ES,NA,2,-27.5,-17.5,274316,1,0,274316
113,2000,2000,Brazil,BRA-ES,NA,2,-27.5,-12.5,1200,1,0,1200
114,2000,2000,Brazil,BRA-ES,NA,2,-27.5,-2.5,21570,1,0,21570
115,2000,2000,Brazil,BRA-ES,NA,2,-27.5,2.5,130883,1,0,130883
116,2000,2000,Brazil,BRA-ES,NA,2,-27.5,17.5,23500,0.48,25458.33333,48958.33333
117,2000,2000,Brazil,BRA-ES,NA,2,-22.5,-12.5,1200,0.487470588,1261.68698,2461.68698
118,2000,2000,Brazil,BRA-ES,NA,2,-22.5,-2.5,12500,1,0,12500
119,2000,2000,Brazil,BRA-ES,NA,2,-22.5,2.5,37396,1,0,37396
120,2000,2000,Brazil,BRA-ES,NA,3,-52.5,-37.5,1800,1,0,1800
121,2000,2000,Brazil,BRA-ES,NA,3,-47.5,-32.5,17300,1,0,17300
122,2000,2000,Brazil,BRA-ES,NA,3,-47.5,-27.5,36500,1,0,36500
123,2000,2000,Brazil,BRA-ES,NA,3,-42.5,-32.5,1100,1,0,1100
124,2000,2000,Brazil,BRA-ES,NA,3,-42.5,-27.5,96200,1,0,96200
125,2000,2000,Brazil,BRA-ES,NA,3,-42.5,-22.5,1200,1,0,1200
126,2000,2000,Brazil,BRA-ES,NA,3,-37.5,-27.5,45490,1,0,45490
127,2000,2000,Brazil,BRA-ES,NA,3,-37.5,-22.5,13300,1,0,13300
128,2000,2000,Brazil,BRA-ES,NA,3,-37.5,-17.5,73737,1,0,73737
129,2000,2000,Brazil,BRA-ES,NA,3,-37.5,-12.5,133684,1,0,133684
130,2000,2000,Brazil,BRA-ES,NA,3,-37.5,-2.5,14581,1,0,14581
131,2000,2000,Brazil,BRA-ES,NA,3,-37.5,2.5,2160,1,0,2160
132,2000,2000,Brazil,BRA-ES,NA,3,-32.5,-27.5,2300,1,0,2300
133,2000,2000,Brazil,BRA-ES,NA,3,-32.5,-22.5,3080,1,0,3080
134,2000,2000,Brazil,BRA-ES,NA,3,-32.5,-17.5,130900,1,0,130900
135,2000,2000,Brazil,BRA-ES,NA,3,-32.5,-12.5,72598,1,0,72598
136,2000,2000,Brazil,BRA-ES,NA,3,-32.5,-7.5,25618,1,0,25618
137,2000,2000,Brazil,BRA-ES,NA,3,-32.5,-2.5,23766,1,0,23766
138,2000,2000,Brazil,BRA-ES,NA,3,-32.5,2.5,100830,1,0,100830
139,2000,2000,Brazil,BRA-ES,NA,3,-27.5,-22.5,6600,1,0,6600
140,2000,2000,Brazil,BRA-ES,NA,3,-27.5,-17.5,46990,1,0,46990
141,2000,2000,Brazil,BRA-ES,NA,3,-27.5,-12.5,1100,1,0,1100
142,2000,2000,Brazil,BRA-ES,NA,3,-27.5,-2.5,1080,1,0,1080
143,2000,2000,Brazil,BRA-ES,NA,3,-27.5,2.5,19560,1,0,19560
144,2000,2000,Brazil,BRA-ES,NA,3,-22.5,-17.5,2280,0.501136364,2269.659864,4549.659864
145,2000,2000,Brazil,BRA-ES,NA,4,-47.5,-27.5,2000,1,0,2000
146,2000,2000,Brazil,BRA-ES,NA,4,-42.5,-27.5,20490,1,0,20490
147,2000,2000,Brazil,BRA-ES,NA,4,-37.5,-27.5,20900,1,0,20900
148,2000,2000,Brazil,BRA-ES,NA,4,-37.5,-22.5,1080,1,0,1080
149,2000,2000,Brazil,BRA-ES,NA,4,-37.5,-12.5,38100,1,0,38100
150,2000,2000,Brazil,BRA-ES,NA,4,-37.5,2.5,10260,1,0,10260
151,2000,2000,Brazil,BRA-ES,NA,4,-32.5,-27.5,17440,1,0,17440
152,2000,2000,Brazil,BRA-ES,NA,4,-32.5,-22.5,2830,1,0,2830
153,2000,2000,Brazil,BRA-ES,NA,4,-32.5,-17.5,2960,1,0,2960
154,2000,2000,Brazil,BRA-ES,NA,4,-32.5,-12.5,10882,1,0,10882
155,2000,2000,Brazil,BRA-ES,NA,4,-32.5,-7.5,37235,1,0,37235
156,2000,2000,Brazil,BRA-ES,NA,4,-32.5,-2.5,5690,1,0,5690
157,2000,2000,Brazil,BRA-ES,NA,4,-32.5,2.5,82720,1,0,82720
158,2000,2000,Brazil,BRA-ES,NA,4,-27.5,-27.5,21603,1,0,21603
159,2000,2000,Brazil,BRA-ES,NA,4,-27.5,-22.5,92840,1,0,92840
160,2000,2000,Brazil,BRA-ES,NA,4,-27.5,-17.5,26910,1,0,26910
161,2000,2000,Brazil,BRA-ES,NA,4,-27.5,-12.5,52209,1,0,52209
162,2000,2000,Brazil,BRA-ES,NA,4,-27.5,-7.5,40770,1,0,40770
163,2000,2000,Brazil,BRA-ES,NA,4,-22.5,-27.5,27330,0.4278,36554.99299,63884.99299
164,2000,2000,Brazil,BRA-ES,NA,4,-22.5,-22.5,30405,1,0,30405
165,2000,2000,Brazil,BRA-ES,NA,4,-22.5,-17.5,1080,0.501136364,1075.102041,2155.102041
166,2000,2000,Brazil,BRA-ES,NA,4,-22.5,-12.5,18750,0.487470588,19713.85906,38463.85906
167,2000,2000,Brazil,BRA-ES,NA,4,-22.5,-7.5,1600,1,0,1600
168,2000,2000,Brazil,BRA-ES,NA,4,-17.5,-27.5,8720,0.319,18615.4232,27335.4232
169,2000,2000,Brazil,BRA-ES,NA,4,-17.5,-22.5,2180,1,0,2180
170,2000,2000,Brazil,BRA-ES,NA,4,-17.5,-17.5,2160,1,0,2160
171,2000,2000,Brazil,BRA-ES,NA,4,-12.5,-12.5,1080,0.643333333,598.7564767,1678.756477
172,2000,2000,Brazil,BRA-GQ,NA,1,-42.5,-37.5,3840,1,0,3840
173,2000,2000,Brazil,BRA-GQ,NA,1,-37.5,-12.5,2900,1,0,2900
174,2000,2000,Brazil,BRA-GQ,NA,1,-37.5,-2.5,63000,1,0,63000
175,2000,2000,Brazil,BRA-GQ,NA,1,-37.5,2.5,20358,1,0,20358
176,2000,2000,Brazil,BRA-GQ,NA,1,-37.5,7.5,65075,0.542181818,54949.31254,120024.3125
177,2000,2000,Brazil,BRA-GQ,NA,1,-37.5,12.5,7800,1,0,7800
178,2000,2000,Brazil,BRA-GQ,NA,1,-32.5,-7.5,32100,1,0,32100
179,2000,2000,Brazil,BRA-GQ,NA,1,-32.5,-2.5,174340,1,0,174340
180,2000,2000,Brazil,BRA-GQ,NA,1,-32.5,2.5,442642,1,0,442642
181,2000,2000,Brazil,BRA-GQ,NA,1,-32.5,7.5,150036,1,0,150036
182,2000,2000,Brazil,BRA-GQ,NA,1,-27.5,-12.5,17280,1,0,17280
183,2000,2000,Brazil,BRA-GQ,NA,1,-27.5,-7.5,99190,1,0,99190
184,2000,2000,Brazil,BRA-GQ,NA,1,-27.5,-2.5,211180,1,0,211180
185,2000,2000,Brazil,BRA-GQ,NA,1,-27.5,2.5,26272,1,0,26272
186,2000,2000,Brazil,BRA-GQ,NA,1,-27.5,7.5,115646,1,0,115646
187,2000,2000,Brazil,BRA-GQ,NA,1,-22.5,-7.5,76800,1,0,76800
188,2000,2000,Brazil,BRA-GQ,NA,1,-22.5,-2.5,42780,1,0,42780
189,2000,2000,Brazil,BRA-GQ,NA,1,-17.5,-7.5,115450,0.47975,125196.1699,240646.1699
190,2000,2000,Brazil,BRA-GQ,NA,1,-17.5,-2.5,86850,0.585,61611.53846,148461.5385
191,2000,2000,Brazil,BRA-GQ,NA,1,-12.5,-7.5,32100,0.555,25737.83784,57837.83784
192,2000,2000,Brazil,BRA-GQ,NA,1,-12.5,-2.5,17440,0.59875,11687.34864,29127.34864
193,2000,2000,Brazil,BRA-GQ,NA,2,-52.5,-37.5,231980,1,0,231980
194,2000,2000,Brazil,BRA-GQ,NA,2,-52.5,-32.5,120000,1,0,120000
195,2000,2000,Brazil,BRA-GQ,NA,2,-47.5,-42.5,8000,1,0,8000
196,2000,2000,Brazil,BRA-GQ,NA,2,-47.5,-37.5,423540,1,0,423540
197,2000,2000,Brazil,BRA-GQ,NA,2,-47.5,-32.5,68080,1,0,68080
198,2000,2000,Brazil,BRA-GQ,NA,2,-42.5,-42.5,69200,1,0,69200
199,2000,2000,Brazil,BRA-GQ,NA,2,-42.5,-37.5,156700,1,0,156700
200,2000,2000,Brazil,BRA-GQ,NA,2,-42.5,-27.5,23120,1,0,23120
201,2000,2000,Brazil,BRA-GQ,NA,2,-42.5,-22.5,7600,1,0,7600
202,2000,2000,Brazil,BRA-GQ,NA,2,-42.5,7.5,8800,0.5625,6844.444444,15644.44444
203,2000,2000,Brazil,BRA-GQ,NA,2,-37.5,-37.5,8000,0.61,5114.754098,13114.7541
204,2000,2000,Brazil,BRA-GQ,NA,2,-37.5,-27.5,3600,1,0,3600
205,2000,2000,Brazil,BRA-GQ,NA,2,-37.5,-2.5,6080,1,0,6080
206,2000,2000,Brazil,BRA-GQ,NA,2,-37.5,2.5,3472,1,0,3472
207,2000,2000,Brazil,BRA-GQ,NA,2,-37.5,7.5,96466,0.542181818,81455.86452,177921.8645
208,2000,2000,Brazil,BRA-GQ,NA,2,-32.5,-2.5,26100,1,0,26100
209,2000,2000,Brazil,BRA-GQ,NA,2,-32.5,2.5,8700,1,0,8700
210,2000,2000,Brazil,BRA-GQ,NA,2,-32.5,7.5,8200,1,0,8200
211,2000,2000,Brazil,BRA-GQ,NA,2,-27.5,-2.5,11220,1,0,11220
212,2000,2000,Brazil,BRA-GQ,NA,2,-27.5,2.5,2900,1,0,2900
213,2000,2000,Brazil,BRA-GQ,NA,2,-27.5,7.5,5800,1,0,5800
214,2000,2000,Brazil,BRA-GQ,NA,2,-17.5,-7.5,10890,0.47975,11809.32256,22699.32256
215,2000,2000,Brazil,BRA-GQ,NA,3,-52.5,-37.5,15200,1,0,15200
216,2000,2000,Brazil,BRA-GQ,NA,3,-52.5,-32.5,185860,1,0,185860
217,2000,2000,Brazil,BRA-GQ,NA,3,-47.5,-37.5,106240,1,0,106240
218,2000,2000,Brazil,BRA-GQ,NA,3,-47.5,-32.5,409160,1,0,409160
219,2000,2000,Brazil,BRA-GQ,NA,3,-47.5,-27.5,64920,1,0,64920
220,2000,2000,Brazil,BRA-GQ,NA,3,-42.5,-27.5,23280,1,0,23280
221,2000,2000,Brazil,BRA-GQ,NA,3,-42.5,-22.5,3840,1,0,3840
222,2000,2000,Brazil,BRA-GQ,NA,3,-37.5,-37.5,4000,0.61,2557.377049,6557.377049
223,2000,2000,Brazil,BRA-GQ,NA,3,-37.5,-32.5,4000,1,0,4000
224,2000,2000,Brazil,BRA-GQ,NA,3,-37.5,-22.5,70920,1,0,70920
225,2000,2000,Brazil,BRA-GQ,NA,3,-37.5,-17.5,8070,1,0,8070
226,2000,2000,Brazil,BRA-GQ,NA,3,-37.5,-12.5,72976,1,0,72976
227,2000,2000,Brazil,BRA-GQ,NA,3,-37.5,-7.5,2880,1,0,2880
228,2000,2000,Brazil,BRA-GQ,NA,3,-32.5,-12.5,122935,1,0,122935
229,2000,2000,Brazil,BRA-GQ,NA,3,-32.5,-7.5,110044,1,0,110044
230,2000,2000,Brazil,BRA-GQ,NA,3,-27.5,-12.5,3152,1,0,3152
231,2000,2000,Brazil,BRA-GQ,NA,3,-27.5,-7.5,40592,1,0,40592
232,2000,2000,Brazil,BRA-GQ,NA,3,-27.5,-2.5,46112,1,0,46112
233,2000,2000,Brazil,BRA-GQ,NA,4,-37.5,-17.5,4184,1,0,4184
234,2000,2000,Brazil,BRA-GQ,NA,4,-37.5,-12.5,8368,1,0,8368
235,2000,2000,Brazil,BRA-GQ,NA,4,-32.5,-12.5,241456,1,0,241456
236,2000,2000,Brazil,BRA-GQ,NA,4,-32.5,-7.5,152756,1,0,152756
237,2000,2000,Brazil,BRA-GQ,NA,4,-32.5,-2.5,21280,1,0,21280
238,2000,2000,Brazil,BRA-GQ,NA,4,-27.5,-12.5,74800,1,0,74800
239,2000,2000,Brazil,BRA-GQ,NA,4,-27.5,-2.5,66720,1,0,66720
240,2000,2000,Brazil,BRA-HN,NA,1,-32.5,-2.5,94000,1,0,94000
241,2000,2000,Brazil,BRA-HN,NA,1,-32.5,2.5,36000,1,0,36000
